Well,SampleID,Mass/Charge,Height,Width
A02,18-330-147678,5312.376,2740.5282,8.04905454545455
A02,18-330-147678,5328.3753,214.7229,8.07329590909091
A02,18-330-147678,5344.3746,78.9478,8.09753727272727
A02,18-330-147678,5360.3739,34.0535,8.12177863636364
A02,18-330-147678,5500.9988,109.4754,8.33484666666667
A02,18-330-147678,5557.3273,65.6578,8.42019287878788
A02,18-330-147678,5597.8381,129.3316,8.48157287878788
A02,18-330-147678,5637.5181,204.6203,8.54169409090909
A02,18-330-147678,5677.8088,147.5835,8.60274060606061
A02,18-330-147678,5717.0024,140.5648,8.66212484848485
A02,18-330-147678,5835.4725,75.4113,8.841625
A02,18-330-147678,6255.8539,93.747,9.47856651515152
A02,18-330-147678,6337.0724,86.3272,9.60162484848485
A02,18-330-147678,6624.3481,54.5629,10.0368910606061
A02,18-330-147678,6665.8521,78.3574,10.0997759090909
A02,18-330-147678,6705.8878,56.5832,10.1604360606061
A02,18-330-147678,6983.7938,237.3726,10.5815057575758
A02,18-330-147678,7244.0375,66.2066,10.9758143939394
A02,18-330-147678,7324.9068,89.6037,11.0983436363636
A03,18-338-107369,1192.7476,0,1.80719333333333
A03,18-338-107369,1229.8935,0,1.863475
A03,18-338-107369,1250.5041,108.0169,1.89470318181818
A03,18-338-107369,1270.6246,37.4903,1.92518878787879
A03,18-338-107369,1567.8014,99.4644,2.37545666666667
A03,18-338-107369,1770.8922,146.035,2.68317
A03,18-338-107369,2123.3188,106.7035,3.2171496969697
A03,18-338-107369,2279.6482,116.3579,3.45401242424242
A03,18-338-107369,2469.562,4394.0202,3.74176060606061
A03,18-338-107369,2509.5867,5338.8279,3.80240409090909
A03,18-338-107369,2549.6113,3744.1061,3.86304742424242
A03,18-338-107369,2565.6106,108.3983,3.88728878787879
A03,18-338-107369,2581.6099,0,3.91153015151515
A03,18-338-107369,2976.9064,223.4445,4.51046424242424
A03,18-338-107369,2993.0163,231.5387,4.53487318181818
A03,18-338-107369,3032.4281,320.5734,4.59458803030303
A03,18-338-107369,3072.6481,276.6585,4.65552742424242
A03,18-338-107369,3087.9569,2939.4976,4.67872257575758
A03,18-338-107369,3168.0062,4670.5817,4.80000939393939
A03,18-338-107369,3184.0055,180.0895,4.82425075757576
A03,18-338-107369,3200.0048,238.8704,4.84849212121212
A03,18-338-107369,3499.4351,165.6558,5.30217439393939
A03,18-338-107369,3556.1013,138.3991,5.38803227272727
A03,18-338-107369,3691.0679,180.4,5.59252712121212
A03,18-338-107369,3913.2001,756.6591,5.92909106060606
A03,18-338-107369,4155.6354,3100.0207,6.29641727272727
A03,18-338-107369,4171.6347,330.4178,6.32065863636364
A03,18-338-107369,4187.634,63.4521,6.3449
A03,18-338-107369,4734.1164,125.5272,7.17290363636364
A03,18-338-107369,4774.0303,2786.7696,7.23337924242424
A03,18-338-107369,4790.0296,220.5399,7.25762060606061
A03,18-338-107369,4806.0289,98.9378,7.28186196969697
A03,18-338-107369,4822.0282,74.7397,7.30610333333333
A03,18-338-107369,4962.1177,92.3256,7.51836015151515
A03,18-338-107369,4978.7776,136.1806,7.54360242424243
A03,18-338-107369,5018.7052,180.1127,7.60409878787879
A03,18-338-107369,5058.9485,127.0611,7.66507348484849
A03,18-338-107369,5312.376,2739.5306,8.04905454545455
A03,18-338-107369,5328.3753,137.7175,8.07329590909091
A03,18-338-107369,5344.3746,44.7768,8.09753727272727
A03,18-338-107369,5350.5912,142.148,8.10695636363636
A03,18-338-107369,5360.3739,28.316,8.12177863636364
A03,18-338-107369,5500.9852,85.7246,8.33482606060606
A03,18-338-107369,5596.782,84.6879,8.47997272727273
A03,18-338-107369,5637.237,156.9006,8.54126818181818
A03,18-338-107369,5677.2115,109.159,8.60183560606061
A03,18-338-107369,5717.0534,91.1947,8.66220212121212
A03,18-338-107369,5836.3078,84.5105,8.84289060606061
A03,18-338-107369,6254.9601,68.5939,9.47721227272727
A03,18-338-107369,6625.2879,45.3454,10.038315
A03,18-338-107369,6664.9742,53.6147,10.0984457575758
A03,18-338-107369,6983.2223,183.1027,10.5806398484848
A03,18-338-107369,7244.1396,48.8769,10.9759690909091
A03,18-338-107369,7325.8302,87.3194,11.0997427272727
A04,18-275-148261,1192.7476,0,1.80719333333333
A04,18-275-148261,1232.0395,0,1.86672651515152
A04,18-275-148261,1251.9902,48.7415,1.89695484848485
A04,18-275-148261,1632.3214,67.2911,2.47321424242424
A04,18-275-148261,1771.1745,167.8761,2.68359772727273
A04,18-275-148261,1794.0855,125.5144,2.71831136363636
A04,18-275-148261,1855.8495,119.9853,2.81189318181818
A04,18-275-148261,2124.0589,178.786,3.21827106060606
A04,18-275-148261,2220.2542,171.4434,3.36402151515151
A04,18-275-148261,2280.2937,356.1189,3.45499045454545
A04,18-275-148261,2469.562,7465.2877,3.74176060606061
A04,18-275-148261,2491.0053,324.5019,3.77425045454545
A04,18-275-148261,2509.5867,8287.7426,3.80240409090909
A04,18-275-148261,2531.3257,356.5157,3.83534196969697
A04,18-275-148261,2549.6113,5456.6578,3.86304742424242
A04,18-275-148261,2565.6106,381.0197,3.88728878787879
A04,18-275-148261,2581.6099,132.4986,3.91153015151515
A04,18-275-148261,2698.2237,209.1138,4.08821772727273
A04,18-275-148261,2738.3004,173.9069,4.14894
A04,18-275-148261,2976.8094,267.1328,4.51031727272727
A04,18-275-148261,2992.8313,300.3167,4.53459287878788
A04,18-275-148261,3016.5461,185.1554,4.57052439393939
A04,18-275-148261,3032.7098,413.125,4.59501484848485
A04,18-275-148261,3072.7826,261.6191,4.65573121212121
A04,18-275-148261,3087.9569,4654.6907,4.67872257575758
A04,18-275-148261,3168.0062,6166.4723,4.80000939393939
A04,18-275-148261,3184.0055,1100.3832,4.82425075757576
A04,18-275-148261,3200.0048,725.6485,4.84849212121212
A04,18-275-148261,3491.8645,381.6572,5.29070378787879
A04,18-275-148261,3832.9148,415.419,5.80744666666667
A04,18-275-148261,3913.2001,1740.7633,5.92909106060606
A04,18-275-148261,4155.6354,5620.5106,6.29641727272727
A04,18-275-148261,4171.6347,316.4586,6.32065863636364
A04,18-275-148261,4187.634,433.0464,6.3449
A04,18-275-148261,4343.8686,133.6054,6.58161909090909
A04,18-275-148261,4436.2653,111.5325,6.72161409090909
A04,18-275-148261,4484.2744,174.8532,6.79435515151515
A04,18-275-148261,4678.739,150.091,7.08899848484848
A04,18-275-148261,4774.0303,4904.3449,7.23337924242424
A04,18-275-148261,4790.0296,614.9901,7.25762060606061
A04,18-275-148261,4806.0289,284.2023,7.28186196969697
A04,18-275-148261,4822.0282,351.1544,7.30610333333333
A04,18-275-148261,4938.4796,87.2635,7.48254484848485
A04,18-275-148261,4962.1416,119.5996,7.51839636363636
A04,18-275-148261,4978.1465,263.2095,7.54264621212121
A04,18-275-148261,5018.3953,287.7142,7.60362924242424
A04,18-275-148261,5043.7739,94.2279,7.64208166666667
A04,18-275-148261,5057.9631,185.9173,7.66358045454545
A04,18-275-148261,5099.5762,94.2167,7.72663060606061
A04,18-275-148261,5312.376,4366.5183,8.04905454545455
A04,18-275-148261,5328.3753,572.9746,8.07329590909091
A04,18-275-148261,5344.3746,227.0714,8.09753727272727
A04,18-275-148261,5360.3739,376.6514,8.12177863636364
A04,18-275-148261,5434.1565,61.2532,8.23357045454545
A04,18-275-148261,5501.3222,99.3763,8.33533666666667
